# Matter power spectrum P(k) at redshift z=2.34
# for k=1.04504e-05 to 1.08139 h/Mpc,
# number of wavenumbers equal to 602
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.638635472099e-02       1.906727346133e+03 
       4.669330592538e-02       1.895576256019e+03 
       4.700844317978e-02       1.884380210348e+03 
       4.733234960651e-02       1.873114625164e+03 
       4.766566870246e-02       1.861776641406e+03 
       4.800911264662e-02       1.850353346750e+03 
       4.836347203349e-02       1.838853179880e+03 
       4.872962732488e-02       1.827250993102e+03 
       4.910856238145e-02       1.815542504818e+03 
       4.950138052308e-02       1.803735891948e+03 
       4.990932367814e-02       1.791793408153e+03 
       5.033379532266e-02       1.779714256363e+03 
       5.077638809051e-02       1.767476418154e+03 
       5.123891716500e-02       1.755071142137e+03 
       5.172346085387e-02       1.742476641645e+03 
       5.223241012023e-02       1.729669523000e+03 
       5.276852930603e-02       1.716608726743e+03 
       5.333503085973e-02       1.703290045332e+03 
       5.393566756948e-02       1.689644289098e+03 
       5.457484658946e-02       1.675632347965e+03 
       5.525777035170e-02       1.661205234408e+03 
       5.599061007700e-02       1.646312921981e+03 
       5.678071757958e-02       1.630791188968e+03 
       5.763687944985e-02       1.614579126330e+03 
       5.856961261463e-02       1.597483968092e+03 
       5.959148818900e-02       1.579304625541e+03 
       6.071744529171e-02       1.559772243316e+03 
       6.196500854001e-02       1.538502972978e+03 
       6.335424080508e-02       1.515002583366e+03 
       6.490714264572e-02       1.488614193758e+03 
       6.664608428677e-02       1.458506671557e+03 
       6.859085051616e-02       1.423700128559e+03 
       7.075425341922e-02       1.383159293880e+03 
       7.313726537849e-02       1.336040303733e+03 
       7.572591328790e-02       1.282022570302e+03 
       7.849237688686e-02       1.221627831147e+03 
       8.140061921454e-02       1.156341257645e+03 
       8.441382998654e-02       1.088447955812e+03 
       8.750014532452e-02       1.020590874100e+03 
       9.063507513431e-02       9.553917336543e+02 
       9.380129900181e-02       8.950018429242e+02 
       9.698723487944e-02       8.409716262338e+02 
       1.001854157166e-01       7.941271489646e+02 
       1.033911378694e-01       7.546575219208e+02 
       1.066014809883e-01       7.221487466017e+02 
       1.098146479674e-01       6.957534112235e+02 
       1.130295388445e-01       6.743116933699e+02 
       1.162454824875e-01       6.564653460468e+02 
       1.194620701259e-01       6.408449848356e+02 
       1.226790529842e-01       6.260855794701e+02 
       1.258962796705e-01       6.110525567565e+02 
       1.291136580037e-01       5.948714653771e+02 
       1.323311317858e-01       5.770116606034e+02 
       1.355486666836e-01       5.572998080112e+02 
       1.387662416528e-01       5.359024784583e+02 
       1.419838437306e-01       5.132623386821e+02 
       1.452014648738e-01       4.899994814689e+02 
       1.484191000382e-01       4.668224622531e+02 
       1.516367460126e-01       4.444278938351e+02 
       1.548544007099e-01       4.234192574332e+02 
       1.580720627355e-01       4.042775518494e+02 
       1.612897311252e-01       3.872900014489e+02 
       1.645074051845e-01       3.725628111901e+02 
       1.677250843908e-01       3.600349001947e+02 
       1.709427683333e-01       3.495176471478e+02 
       1.741604566754e-01       3.406801910010e+02 
       1.773781491322e-01       3.331368581942e+02 
       1.805958454552e-01       3.264632670147e+02 
       1.838135454237e-01       3.202760096200e+02 
       1.870312488379e-01       3.142025503087e+02 
       1.902489555157e-01       3.078669446526e+02 
       1.934666652893e-01       3.010357632525e+02 
       1.966843780033e-01       2.935823099076e+02 
       1.999020935132e-01       2.854988462151e+02 
       2.031198116843e-01       2.768789063989e+02 
       2.063375323907e-01       2.678975785133e+02 
       2.095552555144e-01       2.587753598506e+02 
       2.127729809447e-01       2.497436525667e+02 
       2.159907085776e-01       2.410090219975e+02 
       2.192084383155e-01       2.327473612748e+02 
       2.224261700661e-01       2.250891266085e+02 
       2.256439037428e-01       2.181168271384e+02 
       2.288616392639e-01       2.118631401849e+02 
       2.320793765519e-01       2.063230324901e+02 
       2.352971155340e-01       2.014329652362e+02 
       2.385148561410e-01       1.971122012369e+02 
       2.417325983078e-01       1.932388116715e+02 
       2.449503419723e-01       1.896746155585e+02 
       2.481680870761e-01       1.862839009523e+02 
       2.513858335634e-01       1.829454021623e+02 
       2.546035813815e-01       1.795564657215e+02 
       2.578213304802e-01       1.760499951207e+02 
       2.610390808120e-01       1.723906373487e+02 
       2.642568323314e-01       1.685693811735e+02 
       2.674745849953e-01       1.646042375686e+02 
       2.706923387628e-01       1.605347047815e+02 
       2.739100935947e-01       1.564146469837e+02 
       2.771278494536e-01       1.523167244809e+02 
       2.803456063041e-01       1.483061848920e+02 
       2.835633641122e-01       1.444509463566e+02 
       2.867811228454e-01       1.408033982019e+02 
       2.899988824729e-01       1.373985820912e+02 
       2.932166429649e-01       1.342493015779e+02 
       2.964344042933e-01       1.313543123691e+02 
       2.996521664308e-01       1.286929165906e+02 
       3.028699293517e-01       1.262331028099e+02 
       3.060876930310e-01       1.239399832139e+02 
       3.093054574450e-01       1.217743317008e+02 
       3.125232225708e-01       1.196966474808e+02 
       3.157409883866e-01       1.176690082348e+02 
       3.189587548714e-01       1.156573741747e+02 
       3.221765220050e-01       1.136349500305e+02 
       3.253942897681e-01       1.115840439298e+02 
       3.286120581422e-01       1.094984212815e+02 
       3.318298271093e-01       1.073817731351e+02 
       3.350475966524e-01       1.052472441043e+02 
       3.382653667547e-01       1.031128325632e+02 
       3.414831374006e-01       1.009980188876e+02 
       3.447009085747e-01       9.892227913444e+01 
       3.479186802623e-01       9.690331067293e+01 
       3.511364524492e-01       9.495491461321e+01 
       3.543542251217e-01       9.308899187866e+01 
       3.575719982667e-01       9.131292178743e+01 
       3.607897718714e-01       8.963043409320e+01 
       3.640075459237e-01       8.803939435663e+01 
       3.672253204117e-01       8.653236487985e+01 
       3.704430953240e-01       8.509780204405e+01 
       3.736608706496e-01       8.372161831240e+01 
       3.768786463778e-01       8.238927573266e+01 
       3.800964224985e-01       8.108777638282e+01 
       3.833141990016e-01       7.980677907880e+01 
       3.865319758776e-01       7.853897106331e+01 
       3.897497531172e-01       7.727863421531e+01 
       3.929675307115e-01       7.602546575872e+01 
       3.961853086517e-01       7.477549921183e+01 
       3.994030869294e-01       7.353158250543e+01 
       4.026208655367e-01       7.229641630782e+01 
       4.058386444654e-01       7.107490048720e+01 
       4.090564237082e-01       6.987169141493e+01 
       4.122742032575e-01       6.869366373150e+01 
       4.154919831063e-01       6.754589792295e+01 
       4.187097632475e-01       6.643229073281e+01 
       4.219275436745e-01       6.535420851170e+01 
       4.251453243808e-01       6.431195515552e+01 
       4.283631053601e-01       6.330447330970e+01 
       4.315808866061e-01       6.233036064603e+01 
       4.347986681131e-01       6.138785078209e+01 
       4.380164498751e-01       6.047478963992e+01 
       4.412342318867e-01       5.958840472002e+01 
       4.444520141423e-01       5.872512298737e+01 
       4.476697966367e-01       5.788087526633e+01 
       4.508875793647e-01       5.705173245148e+01 
       4.541053623214e-01       5.623437145770e+01 
       4.573231455020e-01       5.542662582572e+01 
       4.605409289016e-01       5.462778316259e+01 
       4.637587125158e-01       5.383790619543e+01 
       4.669764963401e-01       5.305758636061e+01 
       4.701942803702e-01       5.228761806192e+01 
       4.734120646018e-01       5.152869316130e+01 
       4.766298490308e-01       5.078166208317e+01 
       4.798476336533e-01       5.004761731390e+01 
       4.830654184655e-01       4.932809189697e+01 
       4.862832034634e-01       4.862475340956e+01 
       4.895009886435e-01       4.793899274370e+01 
       4.927187740021e-01       4.727151742113e+01 
       4.959365595358e-01       4.662206563695e+01 
       4.991543452412e-01       4.598976266593e+01 
       5.023721311149e-01       4.537306712950e+01 
       5.055899171538e-01       4.477028333927e+01 
       5.088077033547e-01       4.418009046252e+01 
       5.120254897145e-01       4.360137511585e+01 
       5.152432762303e-01       4.303325336482e+01 
       5.184610628990e-01       4.247487914031e+01 
       5.216788497180e-01       4.192532839390e+01 
       5.248966366845e-01       4.138359636789e+01 
       5.281144237956e-01       4.084897840967e+01 
       5.313322110488e-01       4.032117062224e+01 
       5.345499984415e-01       3.980036764714e+01 
       5.377677859713e-01       3.928721375793e+01 
       5.409855736355e-01       3.878250459260e+01 
       5.442033614320e-01       3.828677684788e+01 
       5.474211493582e-01       3.780033454183e+01 
       5.506389374120e-01       3.732318664610e+01 
       5.538567255910e-01       3.685499084889e+01 
       5.570745138933e-01       3.639552799727e+01 
       5.602923023165e-01       3.594474227428e+01 
       5.635100908586e-01       3.550291647459e+01 
       5.667278795176e-01       3.506979691748e+01 
       5.699456682915e-01       3.464531746947e+01 
       5.731634571784e-01       3.422900625891e+01 
       5.763812461763e-01       3.382017651421e+01 
       5.795990352835e-01       3.341816831159e+01 
       5.828168244980e-01       3.302240317737e+01 
       5.860346138182e-01       3.263262278632e+01 
       5.892524032422e-01       3.224877777606e+01 
       5.924701927685e-01       3.187091383929e+01 
       5.956879823953e-01       3.149896789782e+01 
       5.989057721209e-01       3.113274707583e+01 
       6.021235619439e-01       3.077194534350e+01 
       6.053413518627e-01       3.041629431985e+01 
       6.085591418757e-01       3.006567817954e+01 
       6.117769319814e-01       2.972021598428e+01 
       6.149947221784e-01       2.938018701987e+01 
       6.182125124653e-01       2.904588232438e+01 
       6.214303028407e-01       2.871740067620e+01 
       6.246480933031e-01       2.839462988970e+01 
       6.278658838513e-01       2.807728791441e+01 
       6.310836744839e-01       2.776508007845e+01 
       6.343014651996e-01       2.745776720196e+01 
       6.375192559972e-01       2.715520779251e+01 
       6.407370468755e-01       2.685753417267e+01 
       6.439548378332e-01       2.656471425568e+01 
       6.471726288691e-01       2.627666159058e+01 
       6.503904199821e-01       2.599311744490e+01 
       6.536082111711e-01       2.571373540973e+01 
       6.568260024348e-01       2.543824970959e+01 
       6.600437937723e-01       2.516644200414e+01 
       6.632615851824e-01       2.489834211643e+01 
       6.664793766642e-01       2.463406495516e+01 
       6.696971682165e-01       2.437371074478e+01 
       6.729149598383e-01       2.411729145451e+01 
       6.761327515287e-01       2.386480382176e+01 
       6.793505432866e-01       2.361588280278e+01 
       6.825683351112e-01       2.337040295523e+01 
       6.857861270014e-01       2.312828100303e+01 
       6.890039189564e-01       2.288958267639e+01 
       6.922217109752e-01       2.265439710260e+01 
       6.954395030570e-01       2.242282570638e+01 
       6.986572952008e-01       2.219484638237e+01 
       7.018750874059e-01       2.197032167667e+01 
       7.050928796714e-01       2.174904550632e+01 
       7.083106719965e-01       2.153076526320e+01 
       7.115284643803e-01       2.131539659690e+01 
       7.147462568221e-01       2.110291986834e+01 
       7.179640493210e-01       2.089341313651e+01 
       7.211818418764e-01       2.068693207438e+01 
       7.243996344874e-01       2.048342401587e+01 
       7.276174271533e-01       2.028276204482e+01 
       7.308352198734e-01       2.008475728281e+01 
       7.340530126470e-01       1.988926366542e+01 
       7.372708054734e-01       1.969623410105e+01 
       7.404885983519e-01       1.950565729783e+01 
       7.437063912817e-01       1.931772184142e+01 
       7.469241842623e-01       1.913237996274e+01 
       7.501419772930e-01       1.894966890737e+01 
       7.533597703732e-01       1.876949765869e+01 
       8.226913848915e-01       1.540350984528e+01 
       9.227253610244e-01       1.187247104009e+01 
       1.081389060758e+00       8.243153992691e+00 
